Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
HCL,05-12-2013,22.35,22.5,21.7,21.85,21.8,555236,121.81
HCL,04-12-2013,21.9,23.1,21.4,21.65,21.65,1489911,329.78
HCL,03-12-2013,21.7,22.1,21.45,21.5,21.55,601177,130.94
HCL,02-12-2013,21.4,21.75,21.05,21.35,21.3,742914,159.09
HCL,29-11-2013,21.35,21.35,20.8,21.2,21.2,250725,53.04
HCL,28-11-2013,20.7,21.1,20.7,21,20.95,165314,34.59
HCL,27-11-2013,21.65,21.65,20.65,20.8,20.75,254764,53.36
HCL,26-11-2013,23,23,20.1,20.9,20.65,571198,121.8
HCL,25-11-2013,23.4,23.4,22.4,22.8,22.75,165518,37.84
HCL,22-11-2013,23.8,23.8,22.55,22.65,22.8,149333,34.04
HCL,21-11-2013,23.7,23.7,22.8,22.85,22.9,125523,28.94
HCL,20-11-2013,23.5,23.8,23.2,23.3,23.25,215322,50.46
HCL,19-11-2013,24,24.15,23.5,23.6,23.6,295419,70.4
HCL,18-11-2013,23.8,25.15,23.6,23.7,24,1603697,390.37
HCL,14-11-2013,23,23.25,22.45,22.6,22.55,190684,43.5
HCL,13-11-2013,23.05,23.15,22.8,22.9,22.85,94188,21.59
HCL,12-11-2013,23.65,23.65,23,23.15,23.05,139356,32.38
HCL,11-11-2013,23.6,23.65,23.3,23.5,23.45,122105,28.71
HCL,08-11-2013,23.45,24,23.4,23.5,23.55,156620,36.85
HCL,07-11-2013,24.1,24.4,23.8,24,23.9,194159,46.78
HCL,06-11-2013,24.65,24.65,23.8,24,23.9,176546,42.62
HCL,05-11-2013,24,24.9,24,24.1,24.15,260367,63.32
HCL,03-11-2013,24,24.6,23.7,24.55,24.3,99184,23.95
HCL,01-11-2013,23.5,23.7,23.25,23.5,23.45,253144,59.58
HCL,31-10-2013,23.45,23.7,23.3,23.5,23.55,174175,40.95
HCL,30-10-2013,23.7,23.7,23.2,23.3,23.3,66071,15.45
HCL,29-10-2013,23.5,23.8,23.15,23.25,23.25,104955,24.53
HCL,28-10-2013,23.8,23.9,23.4,23.6,23.5,84190,19.93
HCL,25-10-2013,23.9,23.95,23.65,23.8,23.75,110891,26.38
HCL,24-10-2013,24.3,24.3,23.65,23.75,23.75,130761,31.38
HCL,23-10-2013,24,24.35,23.35,24,24,180865,43.52
HCL,22-10-2013,24.45,24.45,23.7,23.7,23.8,199916,47.73
HCL,21-10-2013,23.65,24.5,23.65,23.95,23.85,122471,29.37
HCL,18-10-2013,23.5,24.25,23.5,23.6,23.65,100389,23.88
HCL,17-10-2013,24,24.7,23.3,23.65,23.65,152218,36.23
HCL,15-10-2013,24.75,24.75,22.05,23.4,23.15,200252,47.85
HCL,14-10-2013,24.9,24.9,24.15,24.2,24.2,151409,36.99
HCL,11-10-2013,25.65,25.65,23.25,24.35,24.2,273314,67.4
HCL,10-10-2013,24.1,24.8,24.1,24.4,24.45,109407,26.85
HCL,09-10-2013,24.65,24.9,24.4,24.6,24.6,131739,32.45
HCL,08-10-2013,25.15,25.4,24.65,24.8,24.7,76601,19.17
HCL,07-10-2013,25.8,25.8,25,25,25.05,52217,13.18
HCL,04-10-2013,25.5,25.85,25.05,25.15,25.15,85947,21.86
HCL,03-10-2013,25.85,26,25.5,25.6,25.7,88444,22.81
HCL,01-10-2013,26,26.3,25.3,25.75,25.75,57270,14.85
HCL,30-09-2013,26,26.35,25.85,26.1,26.1,40939,10.72
HCL,27-09-2013,26.75,27.8,26.05,26.1,26.3,60169,15.9
HCL,26-09-2013,26.4,26.75,26,26.45,26.5,139298,36.8
HCL,25-09-2013,26.05,26.45,25.85,26.2,26.1,113684,29.71
HCL,24-09-2013,26.65,26.65,26.05,26.4,26.25,120302,31.57
HCL,23-09-2013,27,27,26.05,26.4,26.4,80515,21.23
HCL,20-09-2013,27.2,27.25,26.6,26.8,26.75,116691,31.43
HCL,19-09-2013,27.95,27.95,26.9,27.05,27.15,213248,58.4
HCL,18-09-2013,27.5,27.9,27,27.05,27.15,132167,36
HCL,17-09-2013,28,28.05,26.95,27.4,27.4,422882,115.9
HCL,16-09-2013,27.65,29.65,27.3,28.05,27.95,2403964,686.78
HCL,13-09-2013,25.75,26,25.1,25.6,25.65,87815,22.56
HCL,12-09-2013,26,26.9,25.1,25.7,25.75,154330,39.64
HCL,11-09-2013,26.9,26.9,25.5,25.7,25.7,160984,42.09
HCL,10-09-2013,27.5,27.9,26.2,26.4,26.6,273796,73.52
HCL,06-09-2013,27.45,27.7,26.3,26.4,26.4,201397,54.02
HCL,05-09-2013,28.2,29.45,27.3,27.4,27.4,459885,130.36
HCL,04-09-2013,25.1,28.65,25.1,27.7,27.7,1118294,306.8
HCL,03-09-2013,22.4,26.25,22.05,25.05,25.25,535938,135
HCL,02-09-2013,21.7,22.85,21.45,22.85,22.2,45596,9.96
HCL,30-08-2013,21.55,22,21.25,21.6,21.7,53139,11.55
HCL,29-08-2013,21.5,21.9,20.5,21.35,21.5,59946,12.81
HCL,28-08-2013,21,21.25,19.65,21.05,21.1,97399,20.1
HCL,27-08-2013,22.4,22.4,20.9,21,21,137977,29.46
HCL,26-08-2013,22.55,23.5,22.5,22.5,22.55,55975,12.76
HCL,23-08-2013,23,23.6,22.2,22.9,22.85,103310,23.75
HCL,22-08-2013,21.9,22.9,21,22.45,22.5,73903,16.19
HCL,21-08-2013,21.35,23.6,21,21,21.15,57956,12.64
HCL,20-08-2013,21.95,21.95,20.5,21.5,21.45,72643,15.32
HCL,19-08-2013,24,24,21.05,21.4,21.45,179638,39.45
HCL,16-08-2013,25.05,25.25,23,23.1,23.3,136653,32.62
HCL,14-08-2013,25.05,25.65,25.05,25.2,25.25,141700,35.88
HCL,13-08-2013,25.5,25.5,24.9,24.95,25.05,110042,27.64
HCL,12-08-2013,25.7,26.15,25,25.15,25.2,166863,42.36
HCL,08-08-2013,27,27.45,25,25.75,25.55,106388,27.86
HCL,07-08-2013,27.5,27.6,26.25,27.1,27.15,43971,11.79
HCL,06-08-2013,27,27.15,26.1,27,27.05,90690,24.2
HCL,05-08-2013,29,29.75,26.6,27.2,27.25,82578,23.18
HCL,02-08-2013,30,30,28.25,29.5,29.45,79906,23.45
HCL,01-08-2013,29.8,30.5,29.8,30,30,218568,65.6
HCL,31-07-2013,30.2,30.45,29.2,29.75,29.8,145724,43.6
HCL,30-07-2013,31.5,31.5,30.1,30.6,30.4,52115,15.85
HCL,29-07-2013,31.15,31.95,30.6,30.75,30.75,195937,60.42
HCL,26-07-2013,32,32.4,31.6,32,31.95,73266,23.41
HCL,25-07-2013,32.1,32.8,31.8,32,32,92303,29.54
HCL,24-07-2013,33,33,32.4,32.5,32.5,172653,56.16
HCL,23-07-2013,33.05,33.2,32.85,32.95,33,231887,76.53
HCL,22-07-2013,33.05,33.35,32.9,33,33,139818,46.15
